"","scores","columnnames"
"1",100,"MM1_HSA_K562_CEBPB"
"2",37.3641647712914,"MM1_HSA_K562_ATF4"
"3",26.6237048268891,"MM1_HSA_K562_JUND"
"4",20.6343189284812,"MM1_HSA_K562_ATF7"
"5",19.168562041951,"MM1_HSA_K562_CEBPD"
"6",17.8417993429366,"MM1_HSA_K562_ATF3"
"7",16.2749557745767,"MM1_HSA_K562_DPF2"
"8",15.3651756381097,"MM1_HSA_K562_MYC"
"9",14.9481930755623,"MM1_HSA_K562_FOS"
"10",14.0131412686379,"MM1_HSA_K562_PBX2"
"11",13.9878695981804,"MM1_HSA_K562_JUN"
"12",12.3452110184483,"MM1_HSA_K562_ATF1"
"13",12.0040434672732,"MM1_HSA_K562_NR2F1"
"14",11.9408642911296,"MM1_HSA_K562_CREM"
"15",10.9805408137478,"MM1_HSA_K562_CBFA2T3"
"16",10.9426333080617,"MM1_HSA_K562_MEIS2"
"17",10.2729340409401,"MM1_HSA_K562_ATF2"
"18",9.78013646702047,"MM1_HSA_K562_PKNOX1"
"19",9.71695729087693,"MM1_HSA_K562_MAZ"
"20",9.0978013646702,"MM1_HSA_K562_NFE2"
"21",8.73136214303766,"MM1_HSA_K562_E2F6"
"22",8.64291129643669,"MM1_HSA_K562_TAL1"
"23",8.47864543846348,"MM1_HSA_K562_BHLHE40"
"24",8.36492292140511,"MM1_HSA_K562_NR2F2"
"25",8.23856456911802,"MM1_HSA_K562_NFE2L2"
"26",8.11220621683093,"MM1_HSA_K562_E4F1"
"27",7.89739701794289,"MM1_HSA_K562_MAX"
"28",7.80894617134193,"MM1_HSA_K562_ZNF592"
"29",7.7710386656558,"MM1_HSA_K562_MAFG"
"30",7.45514278493808,"MM1_HSA_K562_TCF12"
"31",7.27824109173616,"MM1_HSA_K562_E2F4"
"32",7.07606772807683,"MM1_HSA_K562_CTCF"
"33",6.96234521101845,"MM1_HSA_K562_GATA1"
"34",6.78544351781653,"MM1_HSA_K562_NFIC"
"35",6.58327015415719,"MM1_HSA_K562_C11orf30"
"36",6.3052817791256,"MM1_HSA_K562_ARID3A"
"37",5.50922415971696,"MM1_HSA_K562_NFIA"
"38",5.43340914834471,"MM1_HSA_K562_FOSL1"
"39",5.39550164265858,"MM1_HSA_K562_MEF2D"
"40",5.38286580742987,"MM1_HSA_K562_ZNF316"
"41",5.35759413697245,"MM1_HSA_K562_ESRRA"
"42",5.14278493808441,"MM1_HSA_K562_FOXM1"
"43",4.86479656305282,"MM1_HSA_K562_ZNF143"
"44",4.81425322213798,"MM1_HSA_K562_REST"
"45",4.43517816527672,"MM1_HSA_K562_VEZF1"
"46",4.42254233004802,"MM1_HSA_K562_SMARCC2"
"47",4.38463482436189,"MM1_HSA_K562_CREB1"
"48",4.35936315390447,"MM1_HSA_K562_GABPA"
"49",4.32145564821835,"MM1_HSA_K562_ZFX"
"50",4.28354814253222,"MM1_HSA_K562_ZNF83"
"51",4.13191811978772,"MM1_HSA_K562_USF1"
"52",4.1066464493303,"MM1_HSA_K562_FOXK2"
"53",4.09401061410159,"MM1_HSA_K562_ZKSCAN8"
"54",4.06873894364417,"MM1_HSA_K562_SPI1"
"55",4.03083143795805,"MM1_HSA_K562_MAFK"
"56",3.99292393227192,"MM1_HSA_K562_ZBTB40"
"57",3.98028809704321,"MM1_HSA_K562_EGR1"
"58",3.96765226181451,"MM1_HSA_K562_GABPB1"
"59",3.90447308567096,"MM1_HSA_K562_YY1"
"60",3.70229972201163,"MM1_HSA_K562_MNT"
"61",3.65175638109679,"MM1_HSA_K562_SRF"
"62",3.5253980288097,"MM1_HSA_K562_NCOA1"
"63",3.512762193581,"MM1_HSA_K562_MAFF"
"64",3.48749052312358,"MM1_HSA_K562_KLF13"
"65",3.43694718220874,"MM1_HSA_K562_ZKSCAN1"
"66",3.32322466515037,"MM1_HSA_K562_SMAD1"
"67",3.32322466515037,"MM1_HSA_K562_ZBTB7A"
"68",3.27268132423553,"MM1_HSA_K562_AFF1"
"69",3.24740965377811,"MM1_HSA_K562_ELF4"
"70",3.17159464240586,"MM1_HSA_K562_ZNF148"
"71",3.09577963103361,"MM1_HSA_K562_DACH1"
"72",3.00732878443265,"MM1_HSA_K562_MYNN"
"73",2.98205711397523,"MM1_HSA_K562_NRF1"
"74",2.91887793783169,"MM1_HSA_K562_RBM25"
"75",2.89360626737427,"MM1_HSA_K562_RFX1"
"76",2.7925195855446,"MM1_HSA_K562_ZFP36"
"77",2.33762951731109,"MM1_HSA_K562_CTCFL"
"78",2.33762951731109,"MM1_HSA_K562_ZMYM3"
"79",2.29972201162497,"MM1_HSA_K562_MXI1"
"80",2.17336365933788,"MM1_HSA_K562_MEF2A"
"81",2.16072782410917,"MM1_HSA_K562_MITF"
"82",2.13545615365176,"MM1_HSA_K562_CUX1"
"83",2.12282031842305,"MM1_HSA_K562_IRF2"
"84",2.11018448319434,"MM1_HSA_K562_NR2C1"
"85",2.07227697750821,"MM1_HSA_K562_E2F8"
"86",2.03436947182209,"MM1_HSA_K562_JUNB"
"87",2.02173363659338,"MM1_HSA_K562_CREB3L1"
"88",2.02173363659338,"MM1_HSA_K562_ELF1"
"89",1.74374526156179,"MM1_HSA_K562_IRF1"
"90",1.69320192064695,"MM1_HSA_K562_NFYB"
"91",1.56684356835987,"MM1_HSA_K562_ZBTB2"
"92",1.52893606267374,"MM1_HSA_K562_ZSCAN29"
"93",1.37730603992924,"MM1_HSA_K562_ZNF75A"
"94",1.30149102855699,"MM1_HSA_K562_NFE2L1"
"95",1.28885519332828,"MM1_HSA_K562_SMARCA5"
"96",1.28885519332828,"MM1_HSA_K562_ZHX1"
"97",1.25094768764215,"MM1_HSA_K562_ETV6"
"98",1.25094768764215,"MM1_HSA_K562_SP1"
"99",1.1751326762699,"MM1_HSA_K562_ELK1"
"100",1.11195350012636,"MM1_HSA_K562_BACH1"
"101",1.01086681829669,"MM1_HSA_K562_USF2"
"102",1.01086681829669,"MM1_HSA_K562_ZNF24"
"103",0.998230983067981,"MM1_HSA_K562_ZFP91"
"104",0.960323477381855,"MM1_HSA_K562_RFX5"
"105",0.935051806924438,"MM1_HSA_K562_E2F1"
"106",0.90978013646702,"MM1_HSA_K562_NFATC3"
"107",0.884508466009603,"MM1_HSA_K562_MYBL2"
"108",0.871872630780895,"MM1_HSA_K562_RUNX1"
"109",0.871872630780895,"MM1_HSA_K562_THAP1"
"110",0.871872630780895,"MM1_HSA_K562_ZNF740"
"111",0.833965125094769,"MM1_HSA_K562_KLF1"
"112",0.808693454637352,"MM1_HSA_K562_TFDP1"
"113",0.770785948951226,"MM1_HSA_K562_ZNF410"
"114",0.707606772807683,"MM1_HSA_K562_TCF7"
"115",0.619155926206722,"MM1_HSA_K562_NR3C1"
"116",0.606520090978014,"MM1_HSA_K562_ARID2"
"117",0.606520090978014,"MM1_HSA_K562_SIX5"
"118",0.555976750063179,"MM1_HSA_K562_ZNF407"
"119",0.543340914834471,"MM1_HSA_K562_NCOA2"
"120",0.442254233004802,"MM1_HSA_K562_TEAD2"
"121",0.442254233004802,"MM1_HSA_K562_ZNF639"
"122",0.391710892089967,"MM1_HSA_K562_ZNF263"
"123",0.353803386403841,"MM1_HSA_K562_E2F7"
"124",0.328531715946424,"MM1_HSA_K562_ZBTB5"
"125",0.290624210260298,"MM1_HSA_K562_ZNF184"
"126",0.265352539802881,"MM1_HSA_K562_FOXA1"
"127",0.265352539802881,"MM1_HSA_K562_PHF21A"
"128",0.227445034116755,"MM1_HSA_K562_THRA"
"129",0.214809198888047,"MM1_HSA_K562_ZNF354B"
"130",0.126358352287086,"MM1_HSA_K562_NUFIP1"
"131",0.0379075056861259,"MM1_HSA_K562_ZNF507"
